DetailMarketId,MarketId,MarketDetail,RatingDetail,AddressDetail,GoogleMapLink
1,1,ตลาดบางแคภิรมย์,4.10 (254),บางบอน 3 แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJw8ldboW94jARbdtJ7G6gPO0
2,2,ตลาดธนบุรี (สนามหลวง 2),"4.20 (8,118)",195/1 หมู่ 1 ถนนทวีวัฒนา แขวงทวีวัฒนา เขตทวีวัฒนา กทม.10170  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJWxQ3mYGW4jARDtTROp0c_mQ
3,3,ตลาดสมบัติบุรี,"4.40 (2,617)",93/2 หมู่ 13 ตำบลบางบัวทอง อำเภอบางบัวทอง นนทบุรี 11110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJAQrg_nCP4jARoXX4oZXK5Q0
4,4,ตลาดนัดมีนบุรี (จตุจักร 2),"4.10 (2,087)",ถนนสีหบุรานุกิจ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJc0wng_hlHTER4F1VFEBu9R0
5,5,ตลาดนำชัยแฟร์  Numchai fair,4.70 (6),353/5355 อำเภอบางละมุง ชลบุรี 20150  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJp-9ciDmVAjERnHwafFCggTk
6,6,ตลาดกลางปลาสวยงามและสัตว์เลี้ยง (ฟิช วิลเลจ),4.40 (970),ตำบลหนองอ้อ อำเภอบ้านโป่ง ราชบุรี 70110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJpUDHqRoe4zAR9Co2tMm1NnI
7,7,ตลาดรุ่งโรจน์ คลอง 4,4.40 (312),111/1295 หมู่ที่ 1 ถ.ไสวประชาราษฎร์ (ถนนพระองค์เจ้าสาย) ต.บึงยี่โถ อ.ธัญญบุรี จ.ปทุมธานี 12130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ_bHCbjV_HTERIrRcA7Fe608
8,8,ตลาดรังสิต,"4.20 (7,094)",รังสิตปทุมธานี 5 ตำบลประชาธิปัตย์ อำเภอธัญบุรี จังหวัดปทุมธานี 12130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJCWxVy92B4jARoWMeLxxe51Y
9,9,ตลาดล้านเมือง ล้านเมืองไนท์มาร์เก็ต,4.40 (307),55 ตำบลสันทราย อำเภอเมืองเชียงราย จังหวัดเชียงราย 57000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ0d08rkgJ1zARV6XYw-qwCaU
10,10,ตลาดก้ามปู พัฒนาการ 20,4.10 (190),ซอย พัฒนาการ 20 แขวงสวนหลวง กรุงเทพมหานคร 10250  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJvz1jOY9hHTER3hvUSvHMD6E
