EmptyPanelId,MarketId,StallNumber,Zone,AreaType,Size,Price,DiscountText,OriginalPrice,DiscountedPrice,ImageUrl
1,1,หมายเลขแผงที่ 24,5 แถว 4,แผงค้า,2 x 2.30 ตารางเมตร,500,-,,500,https://bucket.ex10.tech/images/3d59752f-e738-11ee-97d4-0242ac12000b/originalContentUrl.jpg
2,1,หมายเลขแผงที่ 10,6 แถว 1,แผงค้า,2 x 2.30 ตารางเมตร,500,-,,500,https://bucket.ex10.tech/images/11cd0b1d-f0ae-11ee-97d4-0242ac12000b/originalContentUrl.jpg
3,1,หมายเลขแผงที่ 2,6 แถว 1,แผงค้า,2 x 2.30 ตารางเมตร,500,-,,500,https://bucket.ex10.tech/images/73c185c9-f0ae-11ee-97d4-0242ac12000b/originalContentUrl.jpg
4,1,หมายเลขแผงที่ 3,6 แถว 1,แผงค้า,2 x 2.30 ตารางเมตร,500,-,,500,https://bucket.ex10.tech/images/9a635357-f0ae-11ee-97d4-0242ac12000b/originalContentUrl.jpg
5,1,หมายเลขแผงที่ 5,6 แถว 1,แผงค้า,2 x 2.30 ตารางเมตร,500,-,,500,https://bucket.ex10.tech/images/cdd8f29b-f0ae-11ee-97d4-0242ac12000b/originalContentUrl.jpg
6,1,หมายเลขแผงที่ 7,6 แถว 1,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/1845b58c-f0af-11ee-97d4-0242ac12000b/originalContentUrl.jpg
7,1,หมายเลขแผงที่ 11,6 แถว 1,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/3ce94e07-f0af-11ee-97d4-0242ac12000b/originalContentUrl.jpg
8,1,หมายเลขแผงที่ 4,2 แถว 4,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/ffd6c40f-f0af-11ee-97d4-0242ac12000b/originalContentUrl.jpg
9,1,หมายเลขแผงที่ 14,2 แถว 2,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/2b7c7f6f-f0b0-11ee-97d4-0242ac12000b/originalContentUrl.jpg
10,1,หมายเลขแผงที่ 7,2 แถว 4,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/4239e5af-f0b0-11ee-97d4-0242ac12000b/originalContentUrl.jpg
11,1,หมายเลขแผงที่ 17,2 แถว 2,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/90e12ddc-f174-11ee-97d4-0242ac12000b/originalContentUrl.jpg
12,1,หมายเลขแผงที่ 20,2 แถว 2,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/d8b3c323-f174-11ee-97d4-0242ac12000b/originalContentUrl.jpg
13,1,หมายเลขแผงที่ 23,2 แถว 2,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/1e65881b-f175-11ee-97d4-0242ac12000b/originalContentUrl.jpg
14,1,หมายเลขแผงที่ 2,2 แถว 1,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/61fc8c90-f175-11ee-97d4-0242ac12000b/originalContentUrl.jpg
15,1,หมายเลขแผงที่ 3,2 แถว 1,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/798b032c-f175-11ee-97d4-0242ac12000b/originalContentUrl.jpg
16,1,หมายเลขแผงที่ 5,2 แถว 1,แผงค้า,2 x 2.3 เมตร,500,-,,500,https://bucket.ex10.tech/images/a186ea8b-f175-11ee-97d4-0242ac12000b/originalContentUrl.jpg
