MarketId,MarketName,MarketRating,MarketAddress,MarketPrice,UrlImageProfile,LinkDetail
1,ตลาดบางแคภิรมย์,4.10 (254),"บางแค, กรุงเทพมหานคร",500,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f93d5efafeb5ff589d0fc4_3ca600f9_0a40_4ffd_bcd5_6b3960c59540.jpg,https://thaimarket.biz/markets/ตลาดบางแคภิรมย์
2,ตลาดธนบุรี (สนามหลวง 2),"4.20 (8,118)","บางแค, กรุงเทพมหานคร",800,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f94d91fafeb5ff589d11df_286fca95_228e_4d4f_af60_d3f0d31fbe51.jpg,https://thaimarket.biz/markets/ตลาดธนบุรี-สนามหลวง-2-
3,ตลาดสมบัติบุรี,"4.40 (2,617)","บางแค, กรุงเทพมหานคร",150,https://dx0z0m6vobblr.cloudfront.net/market/image/image_646ddf49a2361d4859dfba5d_c0220570_fc02_4aa0_9e3b_2f8bd9e27bb7.jpg,https://thaimarket.biz/markets/ตลาดสมบัติบุรี
4,ตลาดนัดมีนบุรี (จตุจักร 2),"4.10 (2,087)","บางแค, กรุงเทพมหานคร",550,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f94d41fafeb5ff589d11cf_e96d5797_19f5_405b_b96b_93d99bf107fa.jpg,https://thaimarket.biz/markets/ตลาดนัดมีนบุรี-จตุจักร-2-
5,ตลาดนำชัยแฟร์  Numchai fair,4.70 (6),"บางแค, กรุงเทพมหานคร",6300,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65126d4b8a56f60b3dd4a7b2_cf16ee3e_af16_45a3_8296_37d151d192bf.jpg,https://thaimarket.biz/markets/ตลาดนำชัยแฟร์-numchai-fair
6,ตลาดกลางปลาสวยงามและสัตว์เลี้ยง (ฟิช วิลเลจ),4.40 (970),"บางแค, กรุงเทพมหานคร",2500,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดกลางปลาสวยงามและสัตว์เลี้ยง-ฟิช-วิลเลจ-/347790451_699908902142896_5401094002903865854_n.jpg,https://thaimarket.biz/markets/ตลาดกลางปลาสวยงามและสัตว์เลี้ยง-ฟิช-วิลเลจ-
7,ตลาดรุ่งโรจน์ คลอง 4,4.40 (312),"บางแค, กรุงเทพมหานคร",2000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_650aa1e54b673e0ad23d9c43_816ef159_4df1_4fa7_8346_69b6008c60a6.jpg,https://thaimarket.biz/markets/ตลาดรุ่งโรจน์-คลอง4
8,ตลาดรังสิต,"4.20 (7,094)","บางแค, กรุงเทพมหานคร",90,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f119582155dbc4ce9f98dd_3f1f8c22_df0e_460a_b0a5_6c5892bc1d62.jpg,https://thaimarket.biz/markets/ตลาดรังสิต
9,ตลาดล้านเมือง ล้านเมืองไนท์มาร์เก็ต,4.40 (307),"บางแค, กรุงเทพมหานคร",200,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดล้านเมือง-ล้านเมืองไนท์มาร์เก็ต/291332784_5107103992672168_2366698144889962194_n.jpg,https://thaimarket.biz/markets/ตลาดล้านเมือง-ล้านเมืองไนท์มาร์เก็ต
10,ตลาดก้ามปู พัฒนาการ 20,4.10 (190),"บางแค, กรุงเทพมหานคร",2500,https://dx0z0m6vobblr.cloudfront.net/market/image/image_64800829f24e090cf0b467a0_3e2628a5_935e_40f9_b99c_3e1e0da3ba63.jpg,https://thaimarket.biz/markets/ตลาดก้ามปู-พัฒนาการ-20
11,ตลาดเยสบางพลี YesBangphli,4.20 (774),"บางแค, กรุงเทพมหานคร",2000,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดเยสบางพลี YesBangphli/385336_0.jpg,https://thaimarket.biz/markets/ตลาดเยสบางพลี YesBangphli
12,ตลาดกิเลน,"4.40 (1,201)","บางแค, กรุงเทพมหานคร",20,https://dx0z0m6vobblr.cloudfront.net/image_6467dbfbb031d2ce0da53b37_1694086604294.jpg,https://thaimarket.biz/markets/ตลาดกิเลน
13,ตลาดโต้รุ่งไนท์มาเก็ตเพชรบุรี,5.00 (1),"เมืองเพชรบุรี, เพชรบุรี",120,https://dx0z0m6vobblr.cloudfront.net/market/image/image_6629db0a2bab64bf28b0905a_d20164bc_0254_4b19_8e85_48ecb3320293.jpg,https://thaimarket.biz/markets/ตลาดโต้รุ่งไนท์มาเก็ตเพชรบุรี
14,ตลาดอมร (ปากซอยแอนเน็กซ์ พหลโยธิน58),"4.00 (1,045)","เมืองเพชรบุรี, เพชรบุรี",3000,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดอมร-ปากซอยแอนเน็กซ์พหลโยธิน58/487779.jpg,https://thaimarket.biz/markets/ตลาดอมร-ปากซอยแอนเน็กซ์พหลโยธิน58
15,ตลาดสดสมบูรณ์อ้อมน้อย,3.90 (135),"เมืองเพชรบุรี, เพชรบุรี",6000,https://dx0z0m6vobblr.cloudfront.net/image_64f59f4343f5a87ae476a7e0_1693903896197.jpg,https://thaimarket.biz/markets/ตลาดสดสมบูรณ์อ้อมน้อย
16,ตลาดเสนีย์ฟู้ด,4.20 (530),"เมืองเพชรบุรี, เพชรบุรี",200,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดเสนีย์ฟู้ด/à¸à¸à¸à¸¥à¸²à¸à¹à¸ªà¸à¸µà¸¢à¹à¸à¸¹à¹à¸-23 (1)22.jpg,https://thaimarket.biz/markets/ตลาดเสนีย์ฟู้ด
17,Sila Market ตลาดศิลามาร์เก็ต,4.30 (114),"เมืองเพชรบุรี, เพชรบุรี",4500,https://dx0z0m6vobblr.cloudfront.net/markets/sila-market-ตลาดศิลามาร์เก็ต/LINE_ALBUM__4 à¸à¸¥à¸²à¸à¸¨à¸´à¸¥à¸²à¸¡à¸²à¸£à¹à¹à¸à¹à¸ à¹à¸¢à¸µà¹à¸¢à¸¡à¸à¸¡_240815_1.jpg,https://thaimarket.biz/markets/sila-market-ตลาดศิลามาร์เก็ต
18,ตลาดหงษ์แก้ว,4.20 (151),"เมืองเพชรบุรี, เพชรบุรี",100,https://dx0z0m6vobblr.cloudfront.net/market/image/image_657fbe2c85978dbd0e17daef_7d2564cb_2121_4dd6_b36c_0b58da06c832.png,https://thaimarket.biz/markets/ตลาดหงษ์แก้ว
19,ตลาดธันยา,"4.40 (1,804)","เมืองเพชรบุรี, เพชรบุรี",120,https://dx0z0m6vobblr.cloudfront.net/image_6467d53ab031d2ce0da53b11_1694605447363.jpg,https://thaimarket.biz/markets/ตลาดธันยา
20,บ้านปทุมมาร์เก็ต,4.40 (17),"เมืองเพชรบุรี, เพชรบุรี",1500,https://dx0z0m6vobblr.cloudfront.net/market/image/image_660a2a9d13d9b233dfdcbc01_2b730b65_4d7b_46af_88b3_500beea07d02.jpg,https://thaimarket.biz/markets/บ้านปทุมมาร์เก็ต
21,สตาร์ไนท์บาซ่าร์ ระยอง,"4.20 (2,818)","เมืองเพชรบุรี, เพชรบุรี",4700,https://dx0z0m6vobblr.cloudfront.net/image_646c6289a2361d4859dfb5b2_1684824821335.jpg,https://thaimarket.biz/markets/สตาร์ไนท์บาซ่าร์ ระยอง
22,ลองมาซิเออ ไนท์มาร์เก็ต,0.00 (0),"เมืองเพชรบุรี, เพชรบุรี",150,https://dx0z0m6vobblr.cloudfront.net/market/image/image_6538a0d286a3620a6d6277c0_a9f6c31b_be84_4fed_bc0e_f194914df942.jpg,https://thaimarket.biz/markets/ลองมาซิเออ-ไนท์มาร์เก็ต
23,ตลาดกระดิ่งทอง มหาชัย,4.40 (27),"เมืองเพชรบุรี, เพชรบุรี",80,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65fbfb626cdbfd4bf4c36156_b924c8cb_1f1d_4419_a564_2c5cb3752d61.jpg,https://thaimarket.biz/markets/ตลาดกระดิ่งทอง-มหาชัย
24,ตลาดใจFull Market นครนายก,4.70 (3),"เมืองเพชรบุรี, เพชรบุรี",200,https://dx0z0m6vobblr.cloudfront.net/market/image/image_659509d0ac52740ecca7b8d1_508d8879_5ad1_4602_884d_f07f93f9f39e.jpg,https://thaimarket.biz/markets/ตลาดใจfull-market-นครนายก
25,ตลาดกลางผักและผลไม้จังหวัดราชบุรี (ตลาดศรีเมือง),"4.30 (2,709)","เมืองราชบุรี, ราชบุรี",435,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดกลางผักและผลไม้จังหวัดราชบุรี-ตลาดศรีเมือง-/326708201_1235830417004353_7265493128815574032_n.jpg,https://thaimarket.biz/markets/ตลาดกลางผักและผลไม้จังหวัดราชบุรี-ตลาดศรีเมือง-
26,ตลาดอ่อนนุช โซนเหนือ,"4.20 (1,266)","เมืองราชบุรี, ราชบุรี",4804.42,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดอ่อนนุช-โซนเหนือ/385113_0.jpg,https://thaimarket.biz/markets/ตลาดอ่อนนุช-โซนเหนือ
27,ตลาดแม่อุทัย,4.30 (151),"เมืองราชบุรี, ราชบุรี",80,https://dx0z0m6vobblr.cloudfront.net/image_647562f3f24e090cf0b459f2_1685416219125.jpeg,https://thaimarket.biz/markets/ตลาดแม่อุทัย
28,ตลาดรวยมาร์เก็ต ประชาอุทิศ 90,4.20 (421),"เมืองราชบุรี, ราชบุรี",150,https://dx0z0m6vobblr.cloudfront.net/markets/รวยมาร์เก็ต-ประชาอุทิศ-90/325394185_1579269769258001_7922118441248986186_n.jpg,https://thaimarket.biz/markets/ตลาดรวยมาร์เก็ต
29,THE 27 AVENUE,5.00 (1),"เมืองราชบุรี, ราชบุรี",1000,https://dx0z0m6vobblr.cloudfront.net/markets/the-27-avenue/436351165_1161495205220774_6024227316097890567_n - Apinya Noppakun.jpg,https://thaimarket.biz/markets/the-27-avenue
