MarketContractId,DetailMarketId,ContractPrice,Note,InitialCost,InsurancePremium,AdvanceRent,WaterFee,ElectricityBill,OtherExpenses,Total
1,1,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
2,2,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
3,3,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
4,4,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
5,5,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,"6,300.00",40.00,10.00,-,-,"18,900.00"
6,6,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"7,500.00",-,5.00,8.00,-,-,"7,500.00"
7,7,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"8,000.00",-,35.00,10.00,-,-,"8,000.00"
8,8,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"16,200.00",-,35.00,-,-,-,"16,200.00"
9,9,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
10,10,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
11,11,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
12,12,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
13,13,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
14,14,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"3,000.00","3,000.00",20.00,7.00,-,-,"6,000.00"
15,15,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
16,16,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
17,17,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"2,250.00","4,500.00",-,-,-,-,"6,750.00"
18,18,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
19,19,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
20,20,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
21,21,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"4,700.00",-,-,-,-,-,"4,700.00"
22,22,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
23,23,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,500.00
24,24,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
25,25,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
26,26,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
27,27,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
28,28,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
29,29,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
30,30,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
31,31,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
32,32,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
33,33,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
34,34,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
35,35,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
36,36,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
37,37,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
38,38,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"5,000.00","2,500.00",-,-,-,-,"7,500.00"
39,39,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
40,40,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
41,41,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"4,000.00",-,-,9.00,-,-,"4,000.00"
42,42,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,-,-,-,-,-,-,-
43,43,,หมายเหตุ ค่าใช้จ่ายวันทำสัญญา,"2,050.00",-,-,-,700.00,-,"2,750.00"
