HighlightId,DetailMarketId,Highlight
1,1,รองรับที่จอดรถ
2,1,ถูกหลักอนามัย
3,1,-
4,1,-
5,1,-
6,2,รองรับที่จอดรถ
7,2,ถูกหลักอนามัย
8,2,-
9,2,-
10,2,-
11,3,ถูกหลักอนามัย
12,3,โปรโมทร้านค้าให้ฟรี
13,3,รองรับที่จอดรถ
14,3,-
15,3,-
16,4,ถูกหลักอนามัย
17,4,ใกล้รถไฟฟ้า
18,4,รองรับที่จอดรถ
19,4,-
20,4,-
21,4,-
22,4,-
23,4,-
24,5,ถูกหลักอนามัย
25,5,โปรโมทร้านค้าให้ฟรี
26,5,รองรับที่จอดรถ
27,5,-
28,5,-
29,5,-
30,5,-
31,6,ถูกหลักอนามัย
32,6,โปรโมทร้านค้าให้ฟรี
33,6,รองรับที่จอดรถ
34,6,-
35,6,-
36,6,-
37,7,ถูกหลักอนามัย
38,7,โปรโมทร้านค้าให้ฟรี
39,7,รองรับที่จอดรถ
40,7,-
41,7,-
42,7,-
43,8,ถูกหลักอนามัย
44,8,ใกล้รถไฟฟ้า
45,8,โปรโมทร้านค้าให้ฟรี
46,8,รองรับที่จอดรถ
47,8,-
48,8,-
49,8,-
50,8,-
51,8,-
52,9,ถูกหลักอนามัย
53,9,รองรับที่จอดรถ
54,9,โปรโมทร้านค้าให้ฟรี
55,9,-
56,9,-
57,9,-
58,10,ถูกหลักอนามัย
59,10,โปรโมทร้านค้าให้ฟรี
60,10,รองรับที่จอดรถ
61,10,-
62,10,-
63,10,-
64,11,ถูกหลักอนามัย
65,11,โปรโมทร้านค้าให้ฟรี
66,11,รองรับที่จอดรถ
67,11,-
68,11,-
69,11,-
70,11,-
71,11,-
72,12,ถูกหลักอนามัย
73,12,โปรโมทร้านค้าให้ฟรี
74,12,รองรับที่จอดรถ
75,12,-
76,12,-
77,12,-
78,12,-
79,13,ถูกหลักอนามัย
80,13,รองรับที่จอดรถ
81,13,แอดมินกลางรวมเดลิเวอรี่
82,13,-
83,13,-
84,13,-
85,13,-
86,13,-
87,14,รองรับที่จอดรถ
88,14,ถูกหลักอนามัย
89,14,-
90,14,-
91,14,-
92,15,ถูกหลักอนามัย
93,15,โปรโมทร้านค้าให้ฟรี
94,15,รองรับที่จอดรถ
95,15,-
96,15,-
97,15,-
98,16,-
99,16,-
100,16,ถูกหลักอนามัย
101,16,ใกล้รถไฟฟ้า
102,16,โปรโมทร้านค้าให้ฟรี
103,16,รองรับที่จอดรถ
104,16,-
105,16,-
106,16,-
107,16,-
108,16,-
109,17,ถูกหลักอนามัย
110,17,โปรโมทร้านค้าให้ฟรี
111,17,รองรับที่จอดรถ
112,17,-
113,17,-
114,17,-
115,17,-
116,17,-
117,18,ถูกหลักอนามัย
118,18,โปรโมทร้านค้าให้ฟรี
119,18,รองรับที่จอดรถ
120,18,-
121,18,-
122,18,-
123,19,ถูกหลักอนามัย
124,19,โปรโมทร้านค้าให้ฟรี
125,19,รองรับที่จอดรถ
126,19,-
127,19,-
128,19,-
129,19,-
130,20,ถูกหลักอนามัย
131,20,โปรโมทร้านค้าให้ฟรี
132,20,รองรับที่จอดรถ
133,20,-
134,20,-
135,20,-
136,20,-
137,20,-
138,20,-
139,21,ถูกหลักอนามัย
140,21,โปรโมทร้านค้าให้ฟรี
141,21,รองรับที่จอดรถ
142,21,-
143,21,-
144,21,-
145,22,ถูกหลักอนามัย
146,22,รองรับที่จอดรถ
147,22,-
148,22,-
149,22,-
150,23,ถูกหลักอนามัย
151,23,โปรโมทร้านค้าให้ฟรี
152,23,รองรับที่จอดรถ
153,23,-
154,23,-
155,23,-
156,24,ถูกหลักอนามัย
157,24,โปรโมทร้านค้าให้ฟรี
158,24,รองรับที่จอดรถ
159,24,-
160,24,-
161,24,-
162,24,-
163,25,ถูกหลักอนามัย
164,25,เปิด 24 ชั่วโมง
165,25,รองรับที่จอดรถ
166,25,โปรโมทร้านค้าให้ฟรี
167,25,-
168,25,-
169,25,-
170,25,-
171,25,-
172,26,ถูกหลักอนามัย
173,26,ใกล้รถไฟฟ้า
174,26,โปรโมทร้านค้าให้ฟรี
175,26,รองรับที่จอดรถ
176,26,-
177,26,-
178,26,-
179,26,-
180,27,ถูกหลักอนามัย
181,27,โปรโมทร้านค้าให้ฟรี
182,27,รองรับที่จอดรถ
183,27,-
184,27,-
185,27,-
186,28,รองรับที่จอดรถ
187,28,ถูกหลักอนามัย
