TypeOfShopId,DetailMarketId,TypeOfShop
1,1,ร้านค้าทั่วไป
2,2,ร้านขายต้นไม้
3,2,ร้านสัตว์เลี้ยง
4,2,กล้วยไม้และอุปกรณ์
5,2,ศูนย์อาหาร
6,4,ร้านก๋วยเตี๋ยว
7,4,ร้านข้าวมันไก่
8,4,ร้านข้าวหมูแดง
9,4,ร้านซูชิ
10,4,ร้านอาหารหลักประจำแต่ละภาค
11,4,ร้านนั่งชิว
12,5,ฟาสฟู๊ดอาหารคาว + หวาน
13,5,ของทานเล่น
14,6,ร้านเสื้อผ้า
15,6,ร้านขายสัตว์เลี้ยง
16,6,ร้านขายต้นไม้
17,6,ร้านค้าทั่วไป
18,9,ร้านเครื่องดื่ม
19,9,ร้านของทานเล่น
20,9,ร้านยำ
21,9,ร้านตำ
22,9,ร้านอาหารเหนือ
23,9,ร้านอาหารญี่ปุ่น
24,9,ร้านขนมจีนน้ำยา
25,9,ร้านข้าวราดแกง
26,9,ร้านอาหารตามสั่ง
27,9,ร้านหมูกะทะ
28,9,ร้านขายผัก
29,9,ร้านขายผลไม้
30,9,ร้านเสื้อผ้า
31,9,ร้านรองเท้า
32,10,กระเพรา ข้าวไข่เจียว แกงถุง แกงใต้ ของทานเล่น เสื้อผ้า ชองใช้ กิ๊ฟช้อป อาหารสัตว์ ของมือสอง
33,11,เดลี่โดนัด
34,11,ก๋วยเตี๋ยวต้มยำ
35,11,ก๋วยเตี๋ยวเนื้อตุ๋น
36,11,ผักสด
37,11,ปลาทู
38,11,ร้านโชว์ห่วย
39,11,ข้าวสาร
40,11,"ไก่สด,หมูสด,เนื้อสด"
41,11,อาหารทะเล
42,11,ขนมเค้ก เบเกอรี่ (ต้องการมาก)
43,13,ร้านค้าทั่วไป
44,13,ร้านอาหารทั่วไป
45,14,ร้านเครื่องดื่ม
46,14,ร้านของทานเล่น
47,14,ร้านชานมไข่มุก
48,14,ร้านอาหารตามสั่ง
49,14,ร้านเสื้อผ้า
50,14,ร้านรองเท้า
51,14,ร้านทำเล็บ
52,14,ร้านเสริมสวย
53,14,ร้านขายผัก
54,14,ร้านขายขนม
55,14,ร้านอาหารญี่ปุ่น
56,14,ร้านน้ำ
57,16,ก๋วยเตี๋ยว
58,16,ขาหมู
59,16,ผักสด
60,16,ข้าวมันไก่
61,16,ชานมไข่มุก
62,16,ร้านชมไข่มุก
63,17,ร้านค้าทั่วไป
64,17,ร้านอาหารสด
65,17,ร้านขายต้นไม้
66,17,ร้านทำเล็บ
67,17,ร้านเสริมสวย
68,17,ร้านขายเสื้อผ้า
69,18,ก๋วยเตี๋ยวเป็ด
70,18,ข้าวหมูกรอบหมูแดง
71,18,ก๋วยเตี๋ยวเรือ
72,18,ผักสด
73,18,ผลไม้
74,18,อาหารทะเล
75,18,ร้านขายเสื้อผ้า
76,18,ร้านขายยา
77,18,ร้านตัดขนสัตว์เลี้ยง
78,18,ร้านล้างรถคาร์แคร์
79,18,ร้านขายเฟอนิเจอร์
80,18,ร้านขายเครื่องใช้ไฟฟ้า
81,18,ร้านขายจักรยานยนต์
82,18,ผัดไทยหอยทอด
